,name,rating,reviews,benefits
148,KEC International,4.1,3.2k,453
149,Future Group,4.3,3.2k,421
150,Piramal Capital Housing Finance,4.2,3.2k,270
151,Aditya Birla Fashion and Retail,4.2,3.2k,428
152,Muthoot Fincorp,4.1,3.2k,282
153,Royal Enfield,4.3,3.1k,416
154,L&T Finance,4.0,3.1k,270
155,Viatris,4.3,3k,528
156,Tata Communications,4.2,3k,435
157,Samvardhana Motherson Group,3.8,3k,415
158,Intas Pharmaceuticals,4.2,3k,408
159,LG Electronics,4.1,3k,417
160,Varun Beverages,4.1,3k,331
161,John Deere,4.3,3k,432
162,Kogta Financial India Limited,4.8,3k,51
163,Persistent Systems,3.8,3k,407
164,Godrej & Boyce Manufacturing,3.9,2.9k,430
165,Randstad,3.9,2.9k,342
166,Thermax Limited,4.2,2.9k,389
167,Hetero Drugs,3.9,2.9k,343
168,Deutsche Bank,4.1,2.9k,424
169,Havells,4.1,2.9k,333
170,Macleods Pharmaceuticals,3.8,2.9k,370
171,CARS24,3.7,2.9k,426
172,Team Lease,4.0,2.8k,225
173,Sodexo,4.1,2.8k,384
174,Subros,4.0,2.8k,415
175,Abbott,4.1,2.8k,384
176,VE Commercial Vehicles,4.1,2.8k,375
177,Indian Oil Corporation,4.5,2.8k,312
178,Whitehat jr,3.5,2.8k,973
179,Ford Motor,4.5,2.8k,398
180,Tata Capital,4.2,2.8k,108
181,Automatic Data Processing (ADP),4.1,2.8k,479
182,Bharat Electronics,4.2,2.7k,327
183,Cummins,4.4,2.7k,477
184,ITC Infotech,3.7,2.7k,301
185,Access Healthcare,4.0,2.7k,285
186,R1 RCM,4.0,2.7k,375
187,American Express,4.3,2.7k,450
188,Alembic Pharmaceuticals,4.0,2.7k,399
189,Pidilite Industries,4.4,2.7k,370
190,UnitedHealth,4.1,2.7k,438
191,Tata AIA Life Insurance,4.1,2.7k,309
192,Hindalco Industries,4.3,2.7k,346
193,Alkem Laboratories,4.0,2.6k,347
194,Publicis Sapient,3.6,2.6k,413
195,Aakash Educational Services,3.6,2.6k,219
196,Atos,3.8,2.6k,365
197,DCB Bank,3.9,2.6k,253
198,Utkarsh Small Finance Bank,4.0,2.6k,273
199,Hindustan Coca Cola Beverages,4.3,2.6k,389
200,Indian Air Force,4.7,2.6k,376
201,Vishal Mega Mart,3.8,2.6k,275
202,Barclays,4.0,2.6k,285
203,Berger Paints,3.8,2.6k,291
204,Glenmark Pharmaceuticals,4.0,2.6k,331
205,Marpu Foundation,4.9,2.5k,91
206,Ipca Laboratories,4.0,2.5k,266
207,Jindal Steel and Power,4.0,2.5k,330
208,Bank of America,4.4,2.5k,433
209,Maersk,4.3,2.5k,447
210,DTDC Express,3.8,2.5k,269
211,ABB Group,4.1,2.5k,359
212,24/7 Customer,3.6,2.5k,440
213,Aarti Industries,4.2,2.5k,386
214,Wipro Infotech,4.0,2.5k,299
215,Honda Motorcycle & Scooter,4.2,2.5k,373
216,Carelon Global Solutions,4.0,2.5k,52
217,Johnson Controls,3.7,2.5k,301
218,HDFC Ergo General Insurance,4.1,2.5k,279
219,NatWest Group,4.0,2.5k,378
220,CMS IT Services,3.2,2.5k,197
221,PolicyBazaar,3.5,2.5k,242
222,MRF Tyres,3.8,2.5k,377
223,Cogent E Services,3.4,2.5k,232
224,RBL Bank,3.8,2.5k,225
225,Paras Hospital,4.6,2.5k,154
226,Reliance Nippon Life Insurance,3.9,2.5k,235
227,Reliance Digital,4.3,2.4k,278
228,PNB MetLife,3.5,2.4k,230
229,Jubilant Foods Works,3.9,2.4k,188
230,Wipro Consumer Care & Lighting,3.9,2.4k,287
231,Escorts Kubota Limited,4.1,2.4k,277
232,GeBBS Healthcare Solutions,3.7,2.4k,304
233,Ceat Tyres,4.1,2.4k,366
234,Kotak Mahindara Life Insurance,3.9,2.4k,273
235,Dabur,3.8,2.4k,281
236,Axis Direct,3.9,2.4k,227
237,Conduent,3.6,2.4k,386
238,JK Cement,4.2,2.4k,260
239,InterGlobe Aviation,3.6,2.4k,321
240,Synechron,3.7,2.3k,284
241,Shoppers Stop,4.1,2.3k,329
242,Birlasoft,3.8,2.3k,243
243,ACC,3.9,2.3k,283
244,HARMAN,3.8,2.3k,127
245,Lenskart,3.3,2.3k,214
246,ArcelorMittal Nippon Steel,4.1,2.3k,125
247,Reliance SMSL,4.0,2.3k,284
248,GATI-KWE,4.0,2.3k,291
249,Indiabulls Home Loans,3.9,2.3k,122
250,PepsiCo,4.2,2.3k,262
251,KPIT Technologies,3.6,2.3k,308
252,UPL,4.2,2.3k,325
253,S&P Global,4.2,2.3k,238
254,Torrent Pharmaceuticals,3.9,2.3k,336
255,Dilip Buildcon,4.0,2.2k,298
256,RSPL Group,4.2,2.2k,308
257,Titan Company,4.4,2.2k,353
258,Tech Mahindra Business Services,3.5,2.2k,335
259,Square Yards,3.9,2.2k,284
260,TVS Credit,4.5,2.2k,208
261,Wipro Enterprises Ltd,3.9,2.2k,445
262,Tata AIG,4.2,2.2k,249
263,EY Global Delivery Services ( EY GDS),3.7,2.2k,168
264,Aditya Birla Sun Life Insurance,4.2,2.2k,218
265,Bajaj Electricals,4.1,2.2k,304
266,IDFC FIRST Bharat,4.6,2.2k,78
267,Alstom Transportation,3.9,2.2k,190
268,Statestreet HCL Services,3.3,2.2k,219
269,IGT Solutions,3.4,2.2k,241
270,Afcons Infrastructure,4.4,2.2k,317
271,Apollo Tyres,4.1,2.2k,341
272,Simplex Infrastructures,3.3,2.1k,291
273,Mankind Pharma,4.1,2.1k,255
274,Domino's Pizza,4.0,2.1k,393
275,Suzlon Group,4.2,2.1k,362
276,Zensar Technologies,3.8,2.1k,275
277,Capita,3.8,2.1k,340
278,Flex,4.2,2.1k,456
279,State Street Corporation,3.8,2.1k,281
280,KocharTech,4.1,2.1k,606
281,Max Healthcare,4.2,2.1k,253
282,Huawei Technologies,4.0,2.1k,303
283,Bajaj Allianz General Insurance,4.0,2.1k,247
284,McDonald's,4.2,2.1k,422
285,I Process Services,3.9,2.1k,132
286,Tata Technologies,3.8,2.1k,328
287,Croma,4.1,2.1k,195
288,Taj Hotels Resorts and Palaces,4.2,2.1k,179
289,HDFC Sales,4.1,2.1k,199
290,Grasim Industries,4.1,2.1k,262
291,ElasticRun,3.4,2.1k,235
292,Landmark Group,4.1,2k,279
293,Nestle,4.2,2k,328
294,UNO Minda,4.1,2k,278
295,Walmart,4.0,2k,361
296,Lava International,4.1,2k,306
297,AGS Health,4.0,2k,283
298,Nokia,4.2,2k,544
299,Blue Dart Express,4.1,2k,237
300,Patanjali Ayurved,4.1,2k,262
301,Tractors and Farm Equipment,4.1,2k,291
302,G4S,4.1,2k,239
303,Capgemini Engineering,3.6,2k,159
304,Fortis Healthcare,4.1,2k,144
305,State Street Syntel,3.7,2k,289
306,Societe Generale,3.9,2k,308
307,BlackBuck,3.9,2k,249
308,Britannia,4.1,2k,259
309,TVS Supply Chain Solutions,4.0,2k,202
310,Fiserv,3.7,2k,332
311,Micro Labs,3.7,1.9k,217
312,KFintech,3.6,1.9k,54
313,Voltas,4.1,1.9k,258
314,Sterlite Technologies,3.8,1.9k,222
315,Shree Cement,4.1,1.9k,232
316,Exide Industries,3.6,1.9k,248
317,Kyndryl,4.1,1.9k,178
318,Ola Cabs,3.5,1.9k,243
319,Yazaki,3.9,1.9k,265
320,Radisson Hotels,4.1,1.9k,315
321,Himalaya Wellness,4.2,1.9k,271
322,Dalmia Bharat Cement,4.1,1.9k,239
323,Quest Global,3.7,1.9k,206
324,Lifestyle,4.4,1.9k,291
325,IKS Health,3.6,1.9k,240
326,Eureka Forbes,3.9,1.9k,230
327,Ajanta Pharma,4.1,1.9k,220
328,ACT Fibernet,4.1,1.8k,259
329,Blue Star,4.1,1.8k,248
330,XpressBees,3.8,1.8k,183
331,Aditya Birla Group,4.1,1.8k,247
332,Extramarks Education,3.5,1.8k,152
333,Motilal Oswal Financial Services,3.8,1.8k,183
334,Sonalika Tractors,3.8,1.8k,185
335,Nokia Networks,4.3,1.8k,24
336,DS Group,4.1,1.8k,223
337,Life Insurance Corporation of India,4.4,1.8k,245
338,Mahindra Rural Housing Finance,4.1,1.8k,184
339,Cholamandalam MS General Insurance,3.9,1.8k,168
340,Zomato,3.7,1.8k,224
341,Mahindra Logistics,4.1,1.8k,223
342,Delhi Public School,3.9,1.8k,269
343,Indus Towers,4.0,1.8k,210
344,PVR Cinemas,4.1,1.8k,251
345,Future Retail,4.3,1.8k,259
346,JMC Projects,4.2,1.8k,265
347,Rivigo,3.9,1.8k,242
348,SRF,4.3,1.8k,277
349,Emcure Pharmaceuticals,3.8,1.8k,247
350,Myntra,4.0,1.8k,316
351,V-Mart,4.3,1.8k,218
352,Ninjacart,4.1,1.8k,146
353,Parle Agro,4.2,1.8k,221
354,Kalpataru Power Transmission,4.2,1.8k,209
355,Datamatics Global Services,3.6,1.8k,194
356,Movate,3.5,1.7k,19
357,Kansai Nerolac Paints,3.9,1.7k,197
358,Renault-Nissan,4.1,1.7k,271
359,Pfizer,4.1,1.7k,283
360,Tata Teleservices,4.1,1.7k,261
361,Fujitsu,3.9,1.7k,201
362,Mahindra Holidays & Resorts,3.6,1.7k,205
363,VVDN Technologies,3.7,1.7k,147
364,Indian Railways,4.2,1.7k,170
365,MSN Laboratories,3.8,1.7k,182
366,BHEL,4.1,1.7k,218
367,KPMG Global Services,3.7,1.7k,22
368,3i Infotech,3.6,1.7k,156
369,Raymond,4.1,1.7k,242
370,Reliance Trends,4.3,1.7k,224
371,ICICI Securities,3.8,1.7k,188
372,Ambuja Cements,4.0,1.7k,217
373,Cybage,4.0,1.7k,293
374,Blinkit,3.9,1.7k,204
375,JCB,4.0,1.7k,252
376,Cadila Pharmaceuticals,3.5,1.7k,185
377,Info Edge,4.0,1.7k,290
